16S_NC_086922.1:1092-2771	Clupeonella abrau
MH085728.1	Lethrinus mahsena
MH085727.1	Lutjanus erythropterus
MH085726.1	Caesio cuning
MH085725.1	Trichiurus lepturus
MH085724.1	Upeneus margarethae
MH085723.1	Nemipterus marginatus
MH085722.1	Lactarius lactarius
MH085721.1	Sardinella jussieu
MH085720.1	Sardinella jussieu
MH085719.1	Atule mate
MH085718.1	Parastromateus niger
MH085717.1	Drepane punctata
MH085716.1	Platax teira
MH085715.1	Decapterus macarellus
MH085714.1	Selaroides leptolepis
MH085713.1	Epinephelus areolatus
MH085712.1	Lutjanus vitta
MH085711.1	Siganus javus
MH085710.1	Caesio cuning
MH085709.1	Rhizoprionodon oligolinx
MH085708.1	Inegocia japonica
MH085707.1	Jaydia striata
MH085706.1	Megalaspis cordyla
MH085705.1	Megalaspis cordyla
MH085704.1	Alepes melanoptera
MH085703.1	Gerres erythrourus
MH085702.1	Selar crumenophthalmus
MH085701.1	Atule mate
MH085700.1	Selaroides leptolepis
MH085699.1	Nemipterus marginatus
MH085698.1	Atropus armatus
MH085697.1	Cubiceps squamiceps
MH085696.1	Coryphaena hippurus
MH085695.1	Decapterus macarellus
MH085694.1	Scomber australasicus
MH085693.1	Auxis thazard
MH085692.1	Sarda orientalis
MH085691.1	Euthynnus affinis
MH085690.1	Netuma thalassina
MH085689.1	Canthidermis maculata
MH085688.1	Lutjanus notatus
MH085687.1	Parapercis hexophtalma
MH085686.1	Lutjanus gibbus
MH085685.1	Scolopsis ciliata
MH085684.1	Tylosurus acus
MH085683.1	Katsuwonus pelamis
MH085682.1	Acanthurus bariene
MH085681.1	Scarus niger
MH085680.1	Pomacanthus semicirculatus
MH085679.1	Pomacanthus annularis
MH085678.1	Scyris indica
MH085677.1	Drepane punctata
MH085676.1	Priacanthus tayenus
MH085675.1	Decapterus maruadsi
MH085674.1	Photopectoralis bindus
MH085673.1	Sphyraena putnamae
MH085672.1	Atule mate
MH085671.1	Myripristis adusta
MH085670.1	Myripristis berndti
MH085669.1	Lutjanus erythropterus
MH085668.1	Lutjanus bengalensis
MH085667.1	Sargocentron diadema
MH085666.1	Trypauchen vagina
MH085665.1	Neotrygon kuhlii
MH085662.1	Thryssa kammalensis
MH085661.1	Gerres erythrourus
MH085660.1	Selar boops
MH085659.1	Alepes vari
MH085658.1	Siganus javus
MH085657.1	Terapon jarbua
MH085656.1	Harpadon nehereus
MH085655.1	Rastrelliger kanagurta
MH085654.1	Priacanthus tayenus
MH085653.1	Caesio cuning
MH085652.1	Anodontostoma chacunda
MH085651.1	Sargocentron rubrum
MH085650.1	Leptomelanosoma indicum
MH085649.1	Sillago sihama
MH085648.1	Cynoglossus itinus
MH085647.1	Megalaspis cordyla
MH085646.1	Lutjanus johnii
MH085645.1	Sargocentron diadema
MH085644.1	Plicofollis argyropleuron
MH085643.1	Parastromateus niger
MH085642.1	Nibea soldado
MH085641.1	Epinephelus coioides
MH085640.1	Hilsa kelee
MH085639.1	Eleutheronema tetradactylum
MH085638.1	Scomberoides commersonnianus
MH085637.1	Otolithes ruber
MH085635.1	Archamia bleekeri
MH085634.1	Acentrogobius caninus
MH085633.1	Trichiurus lepturus
MH085632.1	Siganus vermiculatus
MH085631.1	Terapon jarbua
MH085630.1	Terapon jarbua
MH085629.1	Epinephelus coioides
MH085628.1	Jaydia novaeguineae
MH085627.1	Sardinella melanura
MH085626.1	Platycaranx chrysophrys
MH085625.1	Gerres filamentosus
MH085624.1	Gerres filamentosus
MH085623.1	Pomadasys kaakan
MH085622.1	Leiognathus equula
MH085621.1	Lutjanus indicus
MH085620.1	Moolgarda engeli
MH085619.1	Butis amboinensis
MH085618.1	Scatophagus argus
MH085617.1	Upeneus sulphureus
MH085616.1	Platycephalus indicus
MH085615.1	Scomberoides tala
MH085614.1	Planiliza macrolepis
MH085613.1	Lutjanus argentimaculatus
MH085612.1	Lethrinus lentjan
MH085611.1	Scarus vetula
MH085610.1	Siganus sutor
MH085609.1	Plectorhinchus lineatus
MH085608.1	Cheilinus fasciatus
MH085607.1	Choerodon anchorago
MH085606.1	Diagramma picta
MH085605.1	Pentapodus bifasciatus
MH085604.1	Lutjanus carponotatus
MH085603.1	Lutjanus fulviflamma
MH085602.1	Parupeneus heptacantha
MH085601.1	Cephalopholis miniata
MH085600.1	Psammoperca waigiensis
MH085599.1	Coryphaena hippurus
MH085598.1	Lutjanus erythropterus
MH085597.1	Lethrinus semicinctus
MH085596.1	Plectorhinchus orientalis
MH085595.1	Variola albimarginata
MH085594.1	Diagramma picta
MH085593.1	Tylosurus acus
MH085592.1	Scolopsis affinis
MH085591.1	Selar crumenophthalmus
MH085590.1	Gerres erythrourus
MH085589.1	Priacanthus macracanthus
MH085585.1	Epinephelus ongus
MH085584.1	Platycaranx chrysophrys
MH085583.1	Caranx sexfasciatus
MH085582.1	Symphorichthys spilurus
MH085581.1	Hemiramphus far
MH085580.1	Cephalopholis cyanostigma
MH085579.1	Epinephelus merra
MH085578.1	Siganus guttatus
LC218816.1	Anguilla japonica
LC218815.1	Anguilla japonica
LC218814.1	Anguilla japonica
LC218813.1	Anguilla japonica
LC218812.1	Anguilla japonica
LC218811.1	Anguilla japonica
LC218810.1	Anguilla japonica
LC218809.1	Anguilla japonica
LC218808.1	Anguilla japonica
LC218807.1	Anguilla japonica
LC218806.1	Anguilla japonica
LC218805.1	Anguilla japonica
LC218804.1	Anguilla japonica
LC218803.1	Anguilla japonica
LC218802.1	Anguilla japonica
LC218801.1	Anguilla japonica
LC218800.1	Anguilla japonica
LC218799.1	Anguilla japonica
LC218798.1	Anguilla japonica
LC218797.1	Anguilla japonica
LC218796.1	Anguilla japonica
LC218795.1	Anguilla japonica
LC218794.1	Anguilla japonica
LC218793.1	Anguilla japonica
LC218792.1	Anguilla japonica
LC218791.1	Anguilla japonica
LC218790.1	Anguilla japonica
LC218789.1	Anguilla japonica
LC218788.1	Anguilla japonica
LC218787.1	Anguilla japonica
LC218786.1	Anguilla japonica
LC218785.1	Anguilla japonica
LC218784.1	Anguilla japonica
LC218783.1	Anguilla japonica
LC218782.1	Anguilla japonica
LC218781.1	Anguilla japonica
LC218780.1	Anguilla japonica
LC218779.1	Anguilla japonica
LC218778.1	Anguilla japonica
LC218777.1	Anguilla japonica
LC218776.1	Anguilla japonica
LC218775.1	Anguilla japonica
LC218774.1	Anguilla japonica
LC218773.1	Anguilla japonica
LC218772.1	Anguilla japonica
LC218771.1	Anguilla japonica
LC218770.1	Anguilla japonica
LC218769.1	Anguilla japonica
LC218768.1	Anguilla japonica
LC218767.1	Anguilla japonica
LC218766.1	Anguilla japonica
LC218765.1	Anguilla japonica
LC218764.1	Anguilla japonica
LC218763.1	Anguilla japonica
LC218762.1	Anguilla japonica
LC218761.1	Anguilla marmorata
LC218760.1	Anguilla marmorata
LC218759.1	Anguilla marmorata
LC218758.1	Anguilla marmorata
LC218757.1	Anguilla marmorata
LC218756.1	Anguilla marmorata
LC218755.1	Anguilla marmorata
LC218754.1	Anguilla marmorata
LC218753.1	Anguilla marmorata
LC218752.1	Anguilla marmorata
LC218751.1	Anguilla marmorata
LC218750.1	Anguilla marmorata
LC218749.1	Anguilla marmorata
LC218748.1	Anguilla marmorata
LC218747.1	Anguilla marmorata
LC218746.1	Anguilla marmorata
LC218745.1	Anguilla marmorata
LC218744.1	Anguilla bicolor
LC229310.1	Anguilla japonica
LC229309.1	Anguilla japonica
LC229308.1	Anguilla japonica
LC199244.1	Anguilla japonica
LC199243.1	Anguilla japonica
LC199242.1	Anguilla japonica
LC199241.1	Anguilla japonica
LC199240.1	Anguilla japonica
LC199239.1	Anguilla japonica
LC199238.1	Anguilla japonica
LC199237.1	Anguilla japonica
LC199236.1	Anguilla japonica
LC199235.1	Anguilla japonica
LC199234.1	Anguilla japonica
LC199233.1	Anguilla japonica
LC199232.1	Anguilla japonica
LC199231.1	Anguilla japonica
LC199230.1	Anguilla marmorata
LC199229.1	Anguilla japonica
LC199228.1	Anguilla japonica
LC199227.1	Anguilla marmorata
LC199226.1	Anguilla marmorata
LC199225.1	Anguilla marmorata
LC199224.1	Anguilla marmorata
LC199223.1	Anguilla marmorata
LC199222.1	Anguilla marmorata
LC199221.1	Anguilla marmorata
LC199220.1	Anguilla marmorata
LC199219.1	Anguilla marmorata
LC199218.1	Anguilla marmorata
LC199217.1	Anguilla marmorata
LC199216.1	Anguilla marmorata
LC199215.1	Anguilla marmorata
LC199214.1	Anguilla marmorata
LC199213.1	Anguilla japonica
LC199212.1	Anguilla marmorata
LC199211.1	Anguilla japonica
LC199210.1	Anguilla japonica
LC199209.1	Anguilla japonica
LC199208.1	Anguilla marmorata
LC199207.1	Anguilla marmorata
LC199206.1	Anguilla marmorata
LC199205.1	Anguilla japonica
LC199204.1	Anguilla marmorata
LC199203.1	Anguilla japonica
LC199202.1	Anguilla marmorata
LC199201.1	Anguilla japonica
LC199200.1	Anguilla japonica
LC199199.1	Anguilla marmorata
LC199198.1	Anguilla marmorata
LC199197.1	Anguilla japonica
LC199196.1	Anguilla marmorata
LC199195.1	Anguilla japonica
LC199194.1	Anguilla japonica
LC199193.1	Anguilla marmorata
LC199192.1	Anguilla marmorata
LC199191.1	Anguilla marmorata
LC199190.1	Anguilla marmorata
LC199189.1	Anguilla bicolor
LC199188.1	Anguilla marmorata
LC199187.1	Anguilla marmorata
LC199186.1	Anguilla marmorata
LC199185.1	Anguilla marmorata
LC199184.1	Anguilla japonica
LC199183.1	Anguilla japonica
LC199182.1	Anguilla japonica
LC199181.1	Anguilla japonica
LC199180.1	Anguilla japonica
LC199179.1	Anguilla japonica
LC199178.1	Anguilla japonica
LC199177.1	Anguilla japonica
LC199176.1	Anguilla japonica
LC199175.1	Anguilla japonica
LC199174.1	Anguilla japonica
LC199173.1	Anguilla japonica
LC199172.1	Anguilla japonica
LC199171.1	Anguilla japonica
LC199170.1	Anguilla japonica
LC199169.1	Anguilla japonica
LC199168.1	Anguilla japonica
LC199167.1	Anguilla marmorata
LC199166.1	Anguilla japonica
LC199165.1	Anguilla japonica
LC199164.1	Anguilla japonica
LC199163.1	Anguilla marmorata
LC199162.1	Anguilla japonica
LC199161.1	Anguilla japonica
LC199160.1	Anguilla japonica
LC199159.1	Anguilla japonica
LC199158.1	Anguilla marmorata
LC199157.1	Anguilla marmorata
LC199156.1	Anguilla marmorata
LC199155.1	Anguilla marmorata
LC199154.1	Anguilla marmorata
LC199153.1	Anguilla marmorata
LC199152.1	Anguilla marmorata
LC199151.1	Anguilla marmorata
LC199150.1	Anguilla marmorata
LC199149.1	Anguilla marmorata
LC199148.1	Anguilla marmorata
LC199147.1	Anguilla marmorata
LC199146.1	Anguilla marmorata
LC199145.1	Anguilla marmorata
LC199144.1	Anguilla marmorata
LC199143.1	Anguilla marmorata
LC199142.1	Anguilla marmorata
LC199141.1	Anguilla marmorata
LC199140.1	Anguilla marmorata
LC199139.1	Anguilla marmorata
LC199138.1	Anguilla marmorata
LC199137.1	Anguilla marmorata
LC199136.1	Anguilla marmorata
LC199135.1	Anguilla marmorata
LC199134.1	Anguilla marmorata
LC199133.1	Anguilla marmorata
LC199132.1	Anguilla marmorata
LC199131.1	Anguilla marmorata
LC199130.1	Anguilla marmorata
LC199129.1	Anguilla marmorata
LC199128.1	Anguilla bicolor
LC199127.1	Anguilla bicolor
LC199126.1	Anguilla marmorata
LC199125.1	Anguilla marmorata
LC199124.1	Anguilla marmorata
LC199123.1	Anguilla marmorata
LC199122.1	Anguilla marmorata
LC199121.1	Anguilla marmorata
LC199120.1	Anguilla marmorata
LC199119.1	Anguilla marmorata
LC199118.1	Anguilla marmorata
LC199117.1	Anguilla marmorata
LC199116.1	Anguilla marmorata
LC199115.1	Anguilla marmorata
LC199114.1	Anguilla marmorata
LC199113.1	Anguilla marmorata
LC199112.1	Anguilla marmorata
LC199111.1	Anguilla marmorata
LC199110.1	Anguilla marmorata
LC199109.1	Anguilla marmorata
LC199108.1	Anguilla marmorata
LC199107.1	Anguilla marmorata
LC199106.1	Anguilla marmorata
LC199105.1	Anguilla marmorata
LC199104.1	Anguilla marmorata
LC199103.1	Anguilla marmorata
LC199102.1	Anguilla marmorata
LC199101.1	Anguilla marmorata
LC199100.1	Anguilla marmorata
LC199099.1	Anguilla marmorata
LC199098.1	Anguilla marmorata
LC199097.1	Anguilla marmorata
LC199096.1	Anguilla marmorata
LC199095.1	Anguilla marmorata
LC199094.1	Anguilla japonica
LC199093.1	Anguilla japonica
LC199092.1	Anguilla japonica
LC199091.1	Anguilla japonica
LC199090.1	Anguilla marmorata
LC199089.1	Anguilla japonica
LC199088.1	Anguilla japonica
LC199087.1	Anguilla japonica
LC199086.1	Anguilla marmorata
LC199085.1	Anguilla japonica
LC199084.1	Anguilla marmorata
LC199083.1	Anguilla marmorata
LC199082.1	Anguilla marmorata
LC199081.1	Anguilla marmorata
LC199080.1	Anguilla japonica
LC199079.1	Anguilla japonica
LC199078.1	Anguilla japonica
LC199077.1	Anguilla bicolor
LC199076.1	Anguilla marmorata
LC199075.1	Anguilla marmorata
LC199074.1	Anguilla marmorata
LC199073.1	Anguilla japonica
LC199072.1	Anguilla marmorata
LC199071.1	Anguilla marmorata
LC199070.1	Anguilla marmorata
LC199069.1	Anguilla japonica
LC199068.1	Anguilla japonica
LC199067.1	Anguilla japonica
LC199066.1	Anguilla japonica
LC199065.1	Anguilla japonica
LC199064.1	Anguilla japonica
LC199063.1	Anguilla japonica
LC199062.1	Anguilla marmorata
LC199061.1	Anguilla japonica
LC199060.1	Anguilla luzonensis
LC199059.1	Anguilla japonica
LC199058.1	Anguilla japonica
LC199057.1	Anguilla japonica
LC199056.1	Anguilla japonica
LC199055.1	Anguilla japonica
LC199054.1	Anguilla japonica
LC199053.1	Anguilla japonica
LC199052.1	Anguilla japonica
LC199051.1	Anguilla japonica
LC199050.1	Anguilla japonica
LC199049.1	Anguilla japonica
LC199048.1	Anguilla japonica
LC199047.1	Anguilla japonica
LC199046.1	Anguilla japonica
LC199045.1	Anguilla japonica
LC199044.1	Anguilla japonica
LC199043.1	Anguilla japonica
LC199042.1	Anguilla japonica
LC199041.1	Anguilla japonica
LC199040.1	Anguilla japonica
LC199039.1	Anguilla japonica
LC199038.1	Anguilla japonica
LC199037.1	Anguilla japonica
LC199036.1	Anguilla japonica
LC199035.1	Anguilla japonica
LC199034.1	Anguilla japonica
LC199033.1	Anguilla japonica
LC199032.1	Anguilla japonica
LC199031.1	Anguilla japonica
LC199030.1	Anguilla japonica
LC199029.1	Anguilla japonica
LC199028.1	Anguilla japonica
LC199027.1	Anguilla japonica
LC199026.1	Anguilla japonica
LC213608.1	Anguilla japonica
LC213607.1	Anguilla japonica
LC213606.1	Anguilla japonica
LC213605.1	Anguilla japonica
LC213604.1	Anguilla japonica
LC213603.1	Anguilla japonica
LC213602.1	Anguilla japonica
LC213601.1	Anguilla japonica
LC213600.1	Anguilla japonica
LC213599.1	Anguilla japonica
LC213598.1	Anguilla japonica
LC213597.1	Anguilla marmorata
LC213596.1	Anguilla marmorata
LC213595.1	Anguilla japonica
LC213594.1	Anguilla japonica
LC213593.1	Anguilla japonica
LC213592.1	Anguilla japonica
LC213591.1	Anguilla japonica
LC213590.1	Anguilla japonica
LC213589.1	Anguilla japonica
LC213588.1	Anguilla japonica
LC213587.1	Anguilla japonica
LC213586.1	Anguilla japonica
LC213585.1	Anguilla japonica
LC213584.1	Anguilla japonica
LC213583.1	Anguilla japonica
LC213582.1	Anguilla japonica
LC213581.1	Anguilla japonica
LC213580.1	Anguilla japonica
LC213579.1	Anguilla japonica
LC213578.1	Anguilla japonica
LC213577.1	Anguilla japonica
LC213576.1	Anguilla japonica
MH078252.1	Anas platyrhynchos
AY011174.1	Tursiops truncatus
AY011173.1	Megaptera novaeangliae
MH933944.1	Kyphosus vaigiensis
MH933943.1	Kyphosus vaigiensis
MH933942.1	Kyphosus vaigiensis
MH933941.1	Kyphosus vaigiensis
MH933940.1	Kyphosus vaigiensis
MH933939.1	Kyphosus sydneyanus
MH933938.1	Kyphosus sydneyanus
MH933937.1	Kyphosus sydneyanus
MH933936.1	Kyphosus sydneyanus
MH933935.1	Kyphosus sydneyanus
MH933934.1	Kyphosus sydneyanus
MH933933.1	Kyphosus gladius
MH933932.1	Kyphosus elegans
MH933931.1	Kyphosus cornelii
MH933930.1	Kyphosus cornelii
MH933929.1	Kyphosus cornelii
MH933928.1	Kyphosus cinerascens
MH933927.1	Kyphosus cinerascens
MH933926.1	Kyphosus cinerascens
MH933925.1	Kyphosus cinerascens
MH933924.1	Kyphosus bigibbus
MH933923.1	Kyphosus bigibbus
MH933922.1	Kyphosus bigibbus
MH933921.1	Kyphosus bigibbus
AB648909.1	Protomyctophum arcticum
MG897378.1	Acontias plumbeus
MG897377.1	Acontias plumbeus
MG897376.1	Acontias plumbeus
MG897375.1	Acontias plumbeus
MG897374.1	Acontias plumbeus
MG897373.1	Acontias parietalis
MG897372.1	Acontias fitzsimonsi
MG897371.1	Acontias fitzsimonsi
MG897370.1	Acontias fitzsimonsi
MG897369.1	Acontias fitzsimonsi
MG897368.1	Acontias fitzsimonsi
MG897367.1	Acontias fitzsimonsi
MG897366.1	Acontias fitzsimonsi
MG897365.1	Acontias fitzsimonsi
MG897364.1	Acontias fitzsimonsi
MG897363.1	Acontias fitzsimonsi
MG897362.1	Acontias fitzsimonsi
MG897361.1	Acontias fitzsimonsi
MG897360.1	Acontias fitzsimonsi
MG897359.1	Acontias fitzsimonsi
MG897358.1	Acontias fitzsimonsi
MG897357.1	Acontias fitzsimonsi
MG897356.1	Acontias aurantiacus
MG897355.1	Acontias aurantiacus
MG897354.1	Acontias aurantiacus
MG897353.1	Acontias aurantiacus
MG897352.1	Acontias aurantiacus
MG897351.1	Acontias aurantiacus
MG897350.1	Acontias aurantiacus
MG897349.1	Acontias aurantiacus
MG897348.1	Acontias aurantiacus
MG897347.1	Acontias aurantiacus
MG897346.1	Acontias aurantiacus
MH899845.1	Plestiodon copei
MH899844.1	Plestiodon copei
MH899843.1	Plestiodon dicei
MH899842.1	Plestiodon brevirostris
MH899841.1	Plestiodon brevirostris
MH899839.1	Plestiodon parviauriculatus
MH899838.1	Plestiodon lynxe
MH899837.1	Plestiodon brevirostris
MH899834.1	Plestiodon brevirostris
MH899833.1	Plestiodon brevirostris
MH899832.1	Plestiodon dugesii
MH899831.1	Plestiodon bilineatus
MH899830.1	Plestiodon bilineatus
MH899829.1	Plestiodon bilineatus
MH899828.1	Plestiodon bilineatus
MH899827.1	Plestiodon bilineatus
MH899826.1	Plestiodon dicei
MH899825.1	Plestiodon dicei
MH899824.1	Plestiodon dicei
MH899823.1	Plestiodon brevirostris
MH899822.1	Plestiodon lynxe
MH899821.1	Plestiodon lynxe
MH899820.1	Plestiodon lynxe
MH899819.1	Plestiodon indubitus
MH899818.1	Plestiodon indubitus
MH899817.1	Plestiodon brevirostris
MH899816.1	Plestiodon lynxe
MH899815.1	Plestiodon lynxe
MH899814.1	Plestiodon nietoi
MH899813.1	Plestiodon nietoi
MH899812.1	Plestiodon nietoi
MH899811.1	Plestiodon nietoi
MH899808.1	Plestiodon brevirostris
MH899805.1	Plestiodon indubitus
MH899804.1	Plestiodon indubitus
MH899803.1	Plestiodon brevirostris
MH899802.1	Plestiodon dugesii
MH899800.1	Plestiodon lynxe
MH899799.1	Plestiodon brevirostris
MH899798.1	Plestiodon brevirostris
MH899797.1	Plestiodon bilineatus
MH899796.1	Plestiodon parviauriculatus
MH899795.1	Plestiodon copei
MH899794.1	Plestiodon copei
MH899793.1	Plestiodon brevirostris
MH899792.1	Plestiodon brevirostris
MH899788.1	Plestiodon brevirostris
MH899787.1	Plestiodon brevirostris
MH899786.1	Plestiodon brevirostris
MH899785.1	Plestiodon brevirostris
MH899783.1	Plestiodon brevirostris
MH899782.1	Plestiodon brevirostris
MH899781.1	Plestiodon brevirostris
MH899780.1	Plestiodon brevirostris
MH899779.1	Plestiodon brevirostris
MH899777.1	Plestiodon parvulus
MH899776.1	Plestiodon parvulus
MH899775.1	Plestiodon parvulus
MH899774.1	Plestiodon copei
MH729375.1	Hippocampus barbouri
MH729374.1	Hippocampus barbouri
MH729373.1	Hippocampus barbouri
MH729372.1	Hippocampus barbouri
MH729371.1	Hippocampus barbouri
MH729370.1	Hippocampus barbouri
MH729369.1	Hippocampus barbouri
MH729368.1	Hippocampus barbouri
MF589201.1	Lerista rochfordensis
MF589200.1	Lerista rochfordensis
MF589199.1	Lerista rochfordensis
MF589198.1	Lerista rochfordensis
MF589197.1	Lerista rochfordensis
MF589196.1	Lerista rochfordensis
MF589195.1	Lerista rochfordensis
MF589194.1	Lerista rochfordensis
MF589193.1	Lerista rochfordensis
MF589192.1	Lerista rochfordensis
MF589191.1	Lerista rochfordensis
LC097800.1	Cottus pollux
LC097799.1	Cottus pollux
LC097798.1	Cottus pollux
LC097797.1	Cottus pollux
LC097796.1	Cottus pollux
LC097795.1	Cottus pollux
LC097794.1	Cottus pollux
LC097793.1	Cottus pollux
LC097792.1	Cottus pollux
LC097791.1	Cottus pollux
LC097790.1	Cottus pollux
LC097789.1	Cottus pollux
LC097788.1	Cottus pollux
LC097787.1	Cottus pollux
LC097786.1	Cottus reinii
LC097785.1	Cottus reinii
LC098505.1	Gymnogobius urotaenia
LC098504.1	Gymnogobius urotaenia
LC098503.1	Gymnogobius urotaenia
LC098502.1	Gymnogobius urotaenia
LC098501.1	Gymnogobius urotaenia
LC098500.1	Gymnogobius urotaenia
LC098499.1	Gymnogobius urotaenia
LC098498.1	Gymnogobius petschiliensis
LC098497.1	Gymnogobius petschiliensis
LC098496.1	Gymnogobius petschiliensis
LC098495.1	Gymnogobius petschiliensis
LC098494.1	Gymnogobius opperiens
LC098493.1	Gymnogobius opperiens
LC098492.1	Gymnogobius opperiens
LC098489.1	Gymnogobius isaza
LC098488.1	Gymnogobius isaza
LC098487.1	Gymnogobius isaza
LC098486.1	Gymnogobius isaza
LC098485.1	Gymnogobius breunigii
MF360411.1	Dipturus chilensis
MF360410.1	Dipturus chilensis
MF360409.1	Dipturus chilensis
MF360408.1	Dipturus chilensis
MF360407.1	Dipturus chilensis
MF360406.1	Dipturus chilensis
MF360405.1	Dipturus chilensis
MF360404.1	Dipturus chilensis
MF360403.1	Dipturus chilensis
MF360402.1	Dipturus chilensis
MF360401.1	Dipturus chilensis
MF360400.1	Dipturus chilensis
MF360399.1	Dipturus chilensis
MF360398.1	Dipturus chilensis
MF360397.1	Dipturus chilensis
MF360396.1	Dipturus chilensis
MF360395.1	Dipturus chilensis
MF360394.1	Dipturus chilensis
MF360393.1	Dipturus chilensis
MF360392.1	Dipturus chilensis
MF360391.1	Dipturus chilensis
MF360390.1	Dipturus chilensis
MF360389.1	Dipturus chilensis
MF360388.1	Dipturus chilensis
MF360387.1	Dipturus chilensis
MF360386.1	Dipturus chilensis
MF360385.1	Dipturus chilensis
MF360384.1	Dipturus chilensis
MF360383.1	Dipturus chilensis
MF360382.1	Dipturus chilensis
MF360381.1	Dipturus chilensis
MF360380.1	Dipturus chilensis
MF360379.1	Dipturus chilensis
MF360378.1	Dipturus chilensis
MF360377.1	Dipturus chilensis
MF360376.1	Dipturus chilensis
MF360375.1	Dipturus chilensis
MF360374.1	Dipturus chilensis
MF360373.1	Dipturus chilensis
MF360372.1	Dipturus chilensis
MF360371.1	Dipturus chilensis
MF360370.1	Dipturus chilensis
MF360369.1	Dipturus chilensis
MF360368.1	Dipturus chilensis
MF360367.1	Dipturus chilensis
MF360366.1	Dipturus chilensis
MF360365.1	Dipturus chilensis
MF360364.1	Dipturus chilensis
MF360363.1	Dipturus chilensis
MF360362.1	Dipturus chilensis
MF360361.1	Dipturus chilensis
MF360360.1	Dipturus chilensis
MF360359.1	Dipturus chilensis
MF360358.1	Dipturus chilensis
MF360357.1	Dipturus chilensis
MF360356.1	Dipturus chilensis
MF360355.1	Dipturus chilensis
MF360354.1	Dipturus chilensis
MF360353.1	Dipturus chilensis
MF360352.1	Dipturus chilensis
MF360351.1	Dipturus chilensis
MF360350.1	Dipturus chilensis
MF360349.1	Dipturus chilensis
MF360348.1	Dipturus chilensis
MF360347.1	Dipturus chilensis
MF360346.1	Dipturus chilensis
MF360345.1	Dipturus chilensis
MF360344.1	Dipturus chilensis
MF360343.1	Dipturus chilensis
MF360342.1	Dipturus chilensis
MF360341.1	Dipturus chilensis
MF360340.1	Dipturus chilensis
MF360339.1	Dipturus chilensis
MF360338.1	Dipturus chilensis
MF360337.1	Dipturus chilensis
MF360336.1	Dipturus chilensis
MF360335.1	Dipturus chilensis
MF360334.1	Dipturus chilensis
MF360333.1	Dipturus chilensis
MF360332.1	Dipturus chilensis
MF360331.1	Dipturus trachyderma
MF360330.1	Dipturus trachyderma
MF360329.1	Dipturus trachyderma
MF360328.1	Dipturus trachyderma
MF360327.1	Dipturus trachyderma
MF360326.1	Dipturus trachyderma
MF360325.1	Dipturus trachyderma
MF360324.1	Dipturus trachyderma
MF360323.1	Dipturus trachyderma
MF360322.1	Dipturus trachyderma
MF360321.1	Dipturus trachyderma
MF360320.1	Dipturus trachyderma
MF360319.1	Dipturus trachyderma
MF360318.1	Dipturus trachyderma
MF360317.1	Dipturus trachyderma
MF360316.1	Dipturus trachyderma
MF360315.1	Dipturus trachyderma
MF360314.1	Dipturus trachyderma
MF360313.1	Dipturus trachyderma
MF360312.1	Dipturus trachyderma
MF360311.1	Dipturus trachyderma
MF360310.1	Dipturus trachyderma
MF360309.1	Dipturus trachyderma
MF360308.1	Dipturus trachyderma
MF360307.1	Dipturus trachyderma
MF360306.1	Dipturus trachyderma
MF360305.1	Dipturus trachyderma
MF360304.1	Dipturus trachyderma
MF360303.1	Dipturus trachyderma
MF360302.1	Dipturus trachyderma
MF360301.1	Dipturus trachyderma
MF360300.1	Dipturus trachyderma
MF360299.1	Dipturus trachyderma
MF360298.1	Dipturus trachyderma
MF360297.1	Dipturus trachyderma
MF360296.1	Dipturus trachyderma
MF360295.1	Dipturus trachyderma
MF360294.1	Dipturus trachyderma
MF360293.1	Dipturus trachyderma
MF360292.1	Dipturus trachyderma
MF360291.1	Dipturus trachyderma
MF360290.1	Dipturus trachyderma
MF360289.1	Dipturus trachyderma
MF360288.1	Dipturus trachyderma
MF360287.1	Dipturus trachyderma
MF360286.1	Dipturus trachyderma
MF360285.1	Dipturus trachyderma
MF360284.1	Dipturus trachyderma
MF360283.1	Dipturus trachyderma
MF360282.1	Dipturus trachyderma
MF360281.1	Dipturus trachyderma
MF360280.1	Dipturus trachyderma
MF360279.1	Dipturus trachyderma
MF360278.1	Dipturus trachyderma
MF360277.1	Dipturus trachyderma
MF360276.1	Dipturus trachyderma
MF360275.1	Dipturus trachyderma
MF360274.1	Dipturus trachyderma
MF360273.1	Dipturus trachyderma
MF360272.1	Dipturus trachyderma
MF360271.1	Dipturus trachyderma
MF360270.1	Dipturus trachyderma
MF360269.1	Dipturus trachyderma
MF360268.1	Dipturus trachyderma
MF360267.1	Dipturus trachyderma
MF360266.1	Dipturus trachyderma
MF360265.1	Dipturus trachyderma
MF360264.1	Dipturus trachyderma
MF360263.1	Dipturus trachyderma
MF360262.1	Dipturus trachyderma
MF360261.1	Dipturus trachyderma
MF360260.1	Dipturus trachyderma
MF360259.1	Dipturus trachyderma
MF360258.1	Dipturus trachyderma
MF360257.1	Dipturus trachyderma
MF360256.1	Dipturus trachyderma
MF360255.1	Dipturus trachyderma
MF360254.1	Dipturus trachyderma
MF360253.1	Dipturus trachyderma
MF360252.1	Dipturus trachyderma
MH918138.1	Cottus gobio
MF959797.1	Lerista allanae
MF959796.1	Lerista allanae
MF959795.1	Lerista allanae
MF959794.1	Lerista allanae
MF959793.1	Lerista allanae
